mp_id,center_element,sample_name,site_equivalence_tag
mp-1004530,Pb,mp-1004530__mp-1004530-EXAFS-Pb-K,single_site
mp-10045,As,mp-10045__mp-10045-EXAFS-As-K,equivalent
mp-10046,As,mp-10046__mp-10046-EXAFS-As-K,equivalent
mp-10046,C,mp-10046__mp-10046-EXAFS-C-K,equivalent
mp-10046,V,mp-10046__mp-10046-EXAFS-V-K,equivalent
mp-1004753,B,mp-1004753__mp-1004753-EXAFS-B-K,equivalent
mp-1004753,Pr,mp-1004753__mp-1004753-EXAFS-Pr-K,single_site
mp-1004756,B,mp-1004756__mp-1004756-EXAFS-B-K,equivalent
mp-1004756,Nd,mp-1004756__mp-1004756-EXAFS-Nd-K,single_site
mp-10048,As,mp-10048__mp-10048-EXAFS-As-K,single_site
mp-10048,Ga,mp-10048__mp-10048-EXAFS-Ga-K,single_site
mp-10049,Ru,mp-10049__mp-10049-EXAFS-Ru-K,equivalent
mp-1004,Nb,mp-1004__mp-1004-EXAFS-Nb-K,equivalent
mp-1004,Si,mp-1004__mp-1004-EXAFS-Si-K,single_site
mp-10055,Co,mp-10055__mp-10055-EXAFS-Co-K,equivalent
mp-10055,Mo,mp-10055__mp-10055-EXAFS-Mo-K,single_site
mp-1005666,C,mp-1005666__mp-1005666-EXAFS-C-K,equivalent
mp-1005693,Hg,mp-1005693__mp-1005693-EXAFS-Hg-K,single_site
mp-1005693,In,mp-1005693__mp-1005693-EXAFS-In-K,single_site
mp-1005693,Sm,mp-1005693__mp-1005693-EXAFS-Sm-K,equivalent
mp-10056,B,mp-10056__mp-10056-EXAFS-B-K,equivalent
mp-10056,Co,mp-10056__mp-10056-EXAFS-Co-K,equivalent
mp-10056,U,mp-10056__mp-10056-EXAFS-U-K,single_site
mp-1005727,Np,mp-1005727__mp-1005727-EXAFS-Np-K,equivalent
mp-1005727,Tm,mp-1005727__mp-1005727-EXAFS-Tm-K,single_site
mp-1005752,In,mp-1005752__mp-1005752-EXAFS-In-K,equivalent
mp-1005752,Sm,mp-1005752__mp-1005752-EXAFS-Sm-K,equivalent
mp-1005760,Os,mp-1005760__mp-1005760-EXAFS-Os-K,equivalent
mp-1005760,Tl,mp-1005760__mp-1005760-EXAFS-Tl-K,equivalent
mp-1005761,Gd,mp-1005761__mp-1005761-EXAFS-Gd-K,equivalent
mp-1005761,Sm,mp-1005761__mp-1005761-EXAFS-Sm-K,equivalent
mp-1005789,Co,mp-1005789__mp-1005789-EXAFS-Co-K,equivalent
mp-1005789,Sm,mp-1005789__mp-1005789-EXAFS-Sm-K,equivalent
mp-1005792,Cu,mp-1005792__mp-1005792-EXAFS-Cu-K,equivalent
mp-10057,Co,mp-10057__mp-10057-EXAFS-Co-K,equivalent
mp-10057,V,mp-10057__mp-10057-EXAFS-V-K,equivalent
mp-1005829,Sm,mp-1005829__mp-1005829-EXAFS-Sm-K,equivalent
mp-1005831,Tb,mp-1005831__mp-1005831-EXAFS-Tb-K,equivalent
mp-1005850,U,mp-1005850__mp-1005850-EXAFS-U-K,single_site
mp-1005895,Gd,mp-1005895__mp-1005895-EXAFS-Gd-K,equivalent
mp-1005895,Sm,mp-1005895__mp-1005895-EXAFS-Sm-K,equivalent
mp-10058,B,mp-10058__mp-10058-EXAFS-B-K,equivalent
mp-10058,Co,mp-10058__mp-10058-EXAFS-Co-K,equivalent
mp-10058,Yb,mp-10058__mp-10058-EXAFS-Yb-K,single_site
mp-1005955,B,mp-1005955__mp-1005955-EXAFS-B-K,near_equivalent
mp-10059,B,mp-10059__mp-10059-EXAFS-B-K,equivalent
mp-10059,Co,mp-10059__mp-10059-EXAFS-Co-K,equivalent
mp-10059,Zr,mp-10059__mp-10059-EXAFS-Zr-K,single_site
mp-1005,Fe,mp-1005__mp-1005-EXAFS-Fe-K,equivalent
mp-1005,P,mp-1005__mp-1005-EXAFS-P-K,equivalent
mp-1006056,Ge,mp-1006056__mp-1006056-EXAFS-Ge-K,single_site
mp-1006056,Ni,mp-1006056__mp-1006056-EXAFS-Ni-K,equivalent
mp-1006056,Pa,mp-1006056__mp-1006056-EXAFS-Pa-K,single_site
mp-1006057,In,mp-1006057__mp-1006057-EXAFS-In-K,equivalent
mp-1006057,La,mp-1006057__mp-1006057-EXAFS-La-K,single_site
mp-1006057,Pr,mp-1006057__mp-1006057-EXAFS-Pr-K,single_site
mp-1006058,Cd,mp-1006058__mp-1006058-EXAFS-Cd-K,equivalent
mp-1006058,U,mp-1006058__mp-1006058-EXAFS-U-K,equivalent
mp-1006115,Ho,mp-1006115__mp-1006115-EXAFS-Ho-K,equivalent
mp-1006115,Pu,mp-1006115__mp-1006115-EXAFS-Pu-K,single_site
mp-1006127,Mo,mp-1006127__mp-1006127-EXAFS-Mo-K,equivalent
mp-1006127,Pa,mp-1006127__mp-1006127-EXAFS-Pa-K,equivalent
mp-1006132,Hf,mp-1006132__mp-1006132-EXAFS-Hf-K,equivalent
mp-1006132,Pb,mp-1006132__mp-1006132-EXAFS-Pb-K,equivalent
mp-1006146,Bi,mp-1006146__mp-1006146-EXAFS-Bi-K,equivalent
mp-1006146,Eu,mp-1006146__mp-1006146-EXAFS-Eu-K,single_site
mp-1006146,Mg,mp-1006146__mp-1006146-EXAFS-Mg-K,equivalent
mp-1006150,Re,mp-1006150__mp-1006150-EXAFS-Re-K,single_site
mp-1006164,Pm,mp-1006164__mp-1006164-EXAFS-Pm-K,equivalent
mp-1006164,Pu,mp-1006164__mp-1006164-EXAFS-Pu-K,equivalent
mp-10061,B,mp-10061__mp-10061-EXAFS-B-K,single_site
mp-10061,Er,mp-10061__mp-10061-EXAFS-Er-K,single_site
mp-10061,Pd,mp-10061__mp-10061-EXAFS-Pd-K,equivalent
mp-1006223,B,mp-1006223__mp-1006223-EXAFS-B-K,equivalent
mp-1006223,Gd,mp-1006223__mp-1006223-EXAFS-Gd-K,single_site
mp-1006226,Bi,mp-1006226__mp-1006226-EXAFS-Bi-K,equivalent
mp-1006226,Zn,mp-1006226__mp-1006226-EXAFS-Zn-K,equivalent
mp-1006242,In,mp-1006242__mp-1006242-EXAFS-In-K,equivalent
mp-1006282,Co,mp-1006282__mp-1006282-EXAFS-Co-K,equivalent
mp-1006283,Er,mp-1006283__mp-1006283-EXAFS-Er-K,equivalent
mp-10062,Ba,mp-10062__mp-10062-EXAFS-Ba-K,equivalent
mp-10062,Nb,mp-10062__mp-10062-EXAFS-Nb-K,single_site
mp-10062,Nd,mp-10062__mp-10062-EXAFS-Nd-K,single_site
mp-1006321,Ce,mp-1006321__mp-1006321-EXAFS-Ce-K,equivalent
mp-1006324,Ce,mp-1006324__mp-1006324-EXAFS-Ce-K,equivalent
mp-1006351,Ce,mp-1006351__mp-1006351-EXAFS-Ce-K,equivalent
mp-1006351,Y,mp-1006351__mp-1006351-EXAFS-Y-K,equivalent
mp-1006352,Co,mp-1006352__mp-1006352-EXAFS-Co-K,near_equivalent
mp-1006352,Er,mp-1006352__mp-1006352-EXAFS-Er-K,equivalent
mp-1006367,Ce,mp-1006367__mp-1006367-EXAFS-Ce-K,equivalent
mp-1006367,Hf,mp-1006367__mp-1006367-EXAFS-Hf-K,equivalent
mp-1006368,Ce,mp-1006368__mp-1006368-EXAFS-Ce-K,near_equivalent
mp-1006368,Sn,mp-1006368__mp-1006368-EXAFS-Sn-K,equivalent
mp-1006399,In,mp-1006399__mp-1006399-EXAFS-In-K,equivalent
mp-1006399,Zn,mp-1006399__mp-1006399-EXAFS-Zn-K,equivalent
mp-10063,Cd,mp-10063__mp-10063-EXAFS-Cd-K,equivalent
mp-10063,Sb,mp-10063__mp-10063-EXAFS-Sb-K,equivalent
mp-10063,Sn,mp-10063__mp-10063-EXAFS-Sn-K,equivalent
mp-10064,O,mp-10064__mp-10064-EXAFS-O-K,equivalent
mp-10064,Si,mp-10064__mp-10064-EXAFS-Si-K,single_site
mp-1006574,Rb,mp-1006574__mp-1006574-EXAFS-Rb-K,equivalent
mp-10065,B,mp-10065__mp-10065-EXAFS-B-K,equivalent
mp-10065,Fe,mp-10065__mp-10065-EXAFS-Fe-K,equivalent
mp-10065,U,mp-10065__mp-10065-EXAFS-U-K,single_site
mp-1006613,Al,mp-1006613__mp-1006613-EXAFS-Al-K,equivalent
mp-1006615,Cr,mp-1006615__mp-1006615-EXAFS-Cr-K,equivalent
mp-1006615,Cu,mp-1006615__mp-1006615-EXAFS-Cu-K,equivalent
mp-1006615,N,mp-1006615__mp-1006615-EXAFS-N-K,equivalent
mp-1006619,P,mp-1006619__mp-1006619-EXAFS-P-K,equivalent
mp-1006815,Cs,mp-1006815__mp-1006815-EXAFS-Cs-K,equivalent
mp-1006880,B,mp-1006880__mp-1006880-EXAFS-B-K,single_site
mp-1006880,Bi,mp-1006880__mp-1006880-EXAFS-Bi-K,single_site
mp-1006882,C,mp-1006882__mp-1006882-EXAFS-C-K,single_site
mp-1006882,Cd,mp-1006882__mp-1006882-EXAFS-Cd-K,single_site
mp-1006883,Co,mp-1006883__mp-1006883-EXAFS-Co-K,single_site
mp-1006883,Ni,mp-1006883__mp-1006883-EXAFS-Ni-K,single_site
mp-1006884,Co,mp-1006884__mp-1006884-EXAFS-Co-K,single_site
mp-1006884,Mo,mp-1006884__mp-1006884-EXAFS-Mo-K,single_site
mp-1006887,C,mp-1006887__mp-1006887-EXAFS-C-K,single_site
mp-1006887,Cd,mp-1006887__mp-1006887-EXAFS-Cd-K,single_site
mp-1006891,K,mp-1006891__mp-1006891-EXAFS-K-K,single_site
mp-1006891,Se,mp-1006891__mp-1006891-EXAFS-Se-K,equivalent
mp-1006891,Sm,mp-1006891__mp-1006891-EXAFS-Sm-K,single_site
mp-10069,Ce,mp-10069__mp-10069-EXAFS-Ce-K,single_site
mp-10069,P,mp-10069__mp-10069-EXAFS-P-K,equivalent
mp-10069,Ru,mp-10069__mp-10069-EXAFS-Ru-K,equivalent
mp-10074,Ge,mp-10074__mp-10074-EXAFS-Ge-K,equivalent
mp-10074,Se,mp-10074__mp-10074-EXAFS-Se-K,equivalent
mp-1007636,K,mp-1007636__mp-1007636-EXAFS-K-K,single_site
mp-1007636,Lu,mp-1007636__mp-1007636-EXAFS-Lu-K,single_site
mp-1007636,S,mp-1007636__mp-1007636-EXAFS-S-K,equivalent
mp-1007637,K,mp-1007637__mp-1007637-EXAFS-K-K,single_site
mp-1007637,Na,mp-1007637__mp-1007637-EXAFS-Na-K,single_site
mp-1007652,As,mp-1007652__mp-1007652-EXAFS-As-K,equivalent
mp-1007652,In,mp-1007652__mp-1007652-EXAFS-In-K,equivalent
mp-1007656,Hf,mp-1007656__mp-1007656-EXAFS-Hf-K,single_site
mp-1007656,Pd,mp-1007656__mp-1007656-EXAFS-Pd-K,equivalent
mp-1007657,Hf,mp-1007657__mp-1007657-EXAFS-Hf-K,single_site
mp-1007657,Ru,mp-1007657__mp-1007657-EXAFS-Ru-K,equivalent
mp-1007661,In,mp-1007661__mp-1007661-EXAFS-In-K,equivalent
mp-1007661,Sb,mp-1007661__mp-1007661-EXAFS-Sb-K,equivalent
mp-1007665,Ho,mp-1007665__mp-1007665-EXAFS-Ho-K,single_site
mp-1007665,S,mp-1007665__mp-1007665-EXAFS-S-K,equivalent
mp-1007665,Tl,mp-1007665__mp-1007665-EXAFS-Tl-K,single_site
mp-1007666,Au,mp-1007666__mp-1007666-EXAFS-Au-K,equivalent
mp-1007666,Ho,mp-1007666__mp-1007666-EXAFS-Ho-K,equivalent
mp-1007691,Hf,mp-1007691__mp-1007691-EXAFS-Hf-K,equivalent
mp-1007691,Pt,mp-1007691__mp-1007691-EXAFS-Pt-K,equivalent
mp-1007694,F,mp-1007694__mp-1007694-EXAFS-F-K,equivalent
mp-1007694,O,mp-1007694__mp-1007694-EXAFS-O-K,equivalent
mp-1007694,P,mp-1007694__mp-1007694-EXAFS-P-K,equivalent
mp-1007694,Sn,mp-1007694__mp-1007694-EXAFS-Sn-K,equivalent
mp-1007730,Al,mp-1007730__mp-1007730-EXAFS-Al-K,equivalent
mp-1007730,Hf,mp-1007730__mp-1007730-EXAFS-Hf-K,single_site
mp-1007755,Au,mp-1007755__mp-1007755-EXAFS-Au-K,equivalent
