# purpose: exp5_training_pool
# These samples have site_equivalence_tag in {incompat, near_equivalent_multiset_mismatch}.
# Excluded from Exp4 training. Reserved for Exp5 if a site-averaging strategy is implemented.
# See Step 2.5 Phase D / F report for rationale.
sample_name,mp_id,center_element,original_split,tag,max_shell1_MAE
mp-1005753__mp-1005753-EXAFS-Ge-K,mp-1005753,Ge,test,incompat,999.0
mp-1005755__mp-1005755-EXAFS-Ge-K,mp-1005755,Ge,test,incompat,999.0
mp-1005755__mp-1005755-EXAFS-Sm-K,mp-1005755,Sm,test,incompat,0.202
mp-1005789__mp-1005789-EXAFS-Ga-K,mp-1005789,Ga,train,incompat,999.0
mp-1005792__mp-1005792-EXAFS-As-K,mp-1005792,As,train,incompat,999.0
mp-1005792__mp-1005792-EXAFS-Sm-K,mp-1005792,Sm,train,incompat,999.0
mp-10057__mp-10057-EXAFS-B-K,mp-10057,B,train,incompat,999.0
mp-1005829__mp-1005829-EXAFS-Mn-K,mp-1005829,Mn,train,incompat,999.0
mp-1005829__mp-1005829-EXAFS-P-K,mp-1005829,P,train,incompat,999.0
mp-1005831__mp-1005831-EXAFS-Co-K,mp-1005831,Co,train,incompat,999.0
mp-1005831__mp-1005831-EXAFS-Ge-K,mp-1005831,Ge,train,incompat,999.0
mp-1005850__mp-1005850-EXAFS-Yb-K,mp-1005850,Yb,train,near_equivalent,0.0
mp-1005955__mp-1005955-EXAFS-Ni-K,mp-1005955,Ni,train,incompat,999.0
mp-1005955__mp-1005955-EXAFS-Tm-K,mp-1005955,Tm,train,incompat,999.0
mp-1006058__mp-1006058-EXAFS-O-K,mp-1006058,O,train,incompat,999.0
mp-1006118__mp-1006118-EXAFS-S-K,mp-1006118,S,val,incompat,999.0
mp-1006150__mp-1006150-EXAFS-Eu-K,mp-1006150,Eu,train,near_equivalent,0.0
mp-1006242__mp-1006242-EXAFS-Eu-K,mp-1006242,Eu,train,incompat,999.0
mp-1006242__mp-1006242-EXAFS-Ni-K,mp-1006242,Ni,train,incompat,999.0
mp-1006282__mp-1006282-EXAFS-Nd-K,mp-1006282,Nd,train,incompat,999.0
mp-1006283__mp-1006283-EXAFS-Co-K,mp-1006283,Co,train,incompat,999.0
mp-1006283__mp-1006283-EXAFS-In-K,mp-1006283,In,train,incompat,999.0
mp-10062__mp-10062-EXAFS-O-K,mp-10062,O,train,incompat,999.0
mp-1006321__mp-1006321-EXAFS-Cu-K,mp-1006321,Cu,train,incompat,999.0
mp-1006321__mp-1006321-EXAFS-Sb-K,mp-1006321,Sb,train,incompat,999.0
mp-1006324__mp-1006324-EXAFS-S-K,mp-1006324,S,train,incompat,999.0
mp-1006324__mp-1006324-EXAFS-Y-K,mp-1006324,Y,train,incompat,999.0
mp-1006352__mp-1006352-EXAFS-Ge-K,mp-1006352,Ge,train,incompat,999.0
mp-1006367__mp-1006367-EXAFS-Se-K,mp-1006367,Se,train,incompat,999.0
mp-1006368__mp-1006368-EXAFS-Se-K,mp-1006368,Se,train,incompat,999.0
mp-1006390__mp-1006390-EXAFS-Ce-K,mp-1006390,Ce,train,near_equivalent,0.01775
mp-1006390__mp-1006390-EXAFS-Rh-K,mp-1006390,Rh,train,incompat,0.12377
mp-1006390__mp-1006390-EXAFS-Si-K,mp-1006390,Si,train,incompat,999.0
mp-1006574__mp-1006574-EXAFS-Te-K,mp-1006574,Te,train,incompat,999.0
mp-1006574__mp-1006574-EXAFS-Zr-K,mp-1006574,Zr,train,incompat,999.0
mp-1006588__mp-1006588-EXAFS-In-K,mp-1006588,In,train,incompat,999.0
mp-1006588__mp-1006588-EXAFS-O-K,mp-1006588,O,train,incompat,999.0
mp-1006588__mp-1006588-EXAFS-Zn-K,mp-1006588,Zn,train,incompat,999.0
mp-1006591__mp-1006591-EXAFS-In-K,mp-1006591,In,train,incompat,999.0
mp-1006591__mp-1006591-EXAFS-Mg-K,mp-1006591,Mg,train,incompat,999.0
mp-1006591__mp-1006591-EXAFS-Se-K,mp-1006591,Se,train,incompat,999.0
mp-1006594__mp-1006594-EXAFS-Ta-K,mp-1006594,Ta,train,incompat,999.0
mp-1006611__mp-1006611-EXAFS-F-K,mp-1006611,F,holdout,incompat,999.0
mp-1006611__mp-1006611-EXAFS-N-K,mp-1006611,N,holdout,incompat,999.0
mp-1006611__mp-1006611-EXAFS-O-K,mp-1006611,O,holdout,incompat,999.0
mp-1006611__mp-1006611-EXAFS-S-K,mp-1006611,S,holdout,incompat,999.0
mp-1006611__mp-1006611-EXAFS-Sb-K,mp-1006611,Sb,holdout,incompat,999.0
mp-1006613__mp-1006613-EXAFS-Na-K,mp-1006613,Na,train,incompat,999.0
mp-1006613__mp-1006613-EXAFS-O-K,mp-1006613,O,train,incompat,999.0
mp-1006613__mp-1006613-EXAFS-Si-K,mp-1006613,Si,train,incompat,999.0
mp-1006615__mp-1006615-EXAFS-Cl-K,mp-1006615,Cl,train,incompat,999.0
mp-1006617__mp-1006617-EXAFS-O-K,mp-1006617,O,val,incompat,999.0
mp-1006619__mp-1006619-EXAFS-O-K,mp-1006619,O,train,incompat,999.0
mp-1006619__mp-1006619-EXAFS-Sn-K,mp-1006619,Sn,train,incompat,999.0
mp-10068__mp-10068-EXAFS-N-K,mp-10068,N,val,incompat,999.0
mp-10076__mp-10076-EXAFS-Ge-K,mp-10076,Ge,val,incompat,999.0
mp-10076__mp-10076-EXAFS-Hf-K,mp-10076,Hf,val,incompat,999.0
mp-1007768__mp-1007768-EXAFS-O-K,mp-1007768,O,train,incompat,0.30364
mp-1007853__mp-1007853-EXAFS-Fe-K,mp-1007853,Fe,train,near_equivalent,0.0
mp-1007854__mp-1007854-EXAFS-Ni-K,mp-1007854,Ni,train,near_equivalent,0.0
mp-1007975__mp-1007975-EXAFS-Ni-K,mp-1007975,Ni,train,near_equivalent,0.0
mp-10079__mp-10079-EXAFS-Ag-K,mp-10079,Ag,train,incompat,999.0
mp-10080__mp-10080-EXAFS-O-K,mp-10080,O,train,incompat,999.0
mp-1008228__mp-1008228-EXAFS-F-K,mp-1008228,F,train,incompat,999.0
mp-1008275__mp-1008275-EXAFS-Cr-K,mp-1008275,Cr,train,near_equivalent,0.0
mp-1008282__mp-1008282-EXAFS-Cr-K,mp-1008282,Cr,train,near_equivalent,0.0
mp-1008374__mp-1008374-EXAFS-C-K,mp-1008374,C,train,incompat,999.0
mp-1008490__mp-1008490-EXAFS-I-K,mp-1008490,I,train,near_equivalent,0.0
mp-1008525__mp-1008525-EXAFS-B-K,mp-1008525,B,train,incompat,999.0
mp-1008526__mp-1008526-EXAFS-B-K,mp-1008526,B,holdout,near_equivalent,0.06412
mp-1008702__mp-1008702-EXAFS-Ti-K,mp-1008702,Ti,train,incompat,999.0
mp-1008727__mp-1008727-EXAFS-Ti-K,mp-1008727,Ti,train,incompat,999.0
mp-1008753__mp-1008753-EXAFS-Ti-K,mp-1008753,Ti,train,incompat,999.0
mp-1008875__mp-1008875-EXAFS-Mn-K,mp-1008875,Mn,test,incompat,999.0
mp-10089__mp-10089-EXAFS-Ba-K,mp-10089,Ba,train,incompat,999.0
mp-10089__mp-10089-EXAFS-Sb-K,mp-10089,Sb,train,incompat,999.0
mp-10092__mp-10092-EXAFS-Se-K,mp-10092,Se,train,incompat,999.0
mp-10094__mp-10094-EXAFS-O-K,mp-10094,O,train,incompat,999.0
mp-10094__mp-10094-EXAFS-Tm-K,mp-10094,Tm,train,incompat,999.0
mp-10097__mp-10097-EXAFS-As-K,mp-10097,As,test,incompat,999.0
mp-1011260__mp-1011260-EXAFS-O-K,mp-1011260,O,train,incompat,999.0
mp-1011374__mp-1011374-EXAFS-Se-K,mp-1011374,Se,train,incompat,999.0
mp-10114__mp-10114-EXAFS-B-K,mp-10114,B,train,incompat,999.0
mp-10117__mp-10117-EXAFS-Ni-K,mp-10117,Ni,train,incompat,999.0
mp-1011834__mp-1011834-EXAFS-Na-K,mp-1011834,Na,train,incompat,999.0
mp-1011834__mp-1011834-EXAFS-O-K,mp-1011834,O,train,incompat,999.0
mp-1011834__mp-1011834-EXAFS-P-K,mp-1011834,P,train,incompat,999.0
mp-1011858__mp-1011858-EXAFS-Na-K,mp-1011858,Na,val,incompat,999.0
mp-1011858__mp-1011858-EXAFS-O-K,mp-1011858,O,val,incompat,999.0
mp-1011858__mp-1011858-EXAFS-P-K,mp-1011858,P,val,incompat,999.0
mp-1011860__mp-1011860-EXAFS-O-K,mp-1011860,O,test,incompat,999.0
mp-10118__mp-10118-EXAFS-B-K,mp-10118,B,train,incompat,999.0
mp-10118__mp-10118-EXAFS-Mn-K,mp-10118,Mn,train,incompat,999.0
mp-1012103__mp-1012103-EXAFS-O-K,mp-1012103,O,train,incompat,999.0
mp-1012668__mp-1012668-EXAFS-Mo-K,mp-1012668,Mo,val,incompat,999.0
mp-1012668__mp-1012668-EXAFS-O-K,mp-1012668,O,val,incompat,999.0
mp-1012668__mp-1012668-EXAFS-P-K,mp-1012668,P,val,incompat,999.0
mp-1012678__mp-1012678-EXAFS-Mo-K,mp-1012678,Mo,train,incompat,999.0
mp-1012678__mp-1012678-EXAFS-O-K,mp-1012678,O,train,incompat,999.0
mp-1012678__mp-1012678-EXAFS-P-K,mp-1012678,P,train,incompat,999.0
mp-1012740__mp-1012740-EXAFS-I-K,mp-1012740,I,train,incompat,999.0
mp-1012740__mp-1012740-EXAFS-Ru-K,mp-1012740,Ru,train,incompat,999.0
mp-1012742__mp-1012742-EXAFS-Mn-K,mp-1012742,Mn,train,incompat,999.0
mp-1012742__mp-1012742-EXAFS-O-K,mp-1012742,O,train,incompat,999.0
mp-1012742__mp-1012742-EXAFS-P-K,mp-1012742,P,train,incompat,999.0
mp-1012789__mp-1012789-EXAFS-Cr-K,mp-1012789,Cr,val,incompat,999.0
mp-1012789__mp-1012789-EXAFS-O-K,mp-1012789,O,val,incompat,999.0
mp-1012789__mp-1012789-EXAFS-P-K,mp-1012789,P,val,incompat,999.0
mp-1012791__mp-1012791-EXAFS-O-K,mp-1012791,O,train,incompat,999.0
mp-1012791__mp-1012791-EXAFS-P-K,mp-1012791,P,train,incompat,999.0
mp-1012791__mp-1012791-EXAFS-V-K,mp-1012791,V,train,incompat,999.0
mp-1012835__mp-1012835-EXAFS-O-K,mp-1012835,O,train,incompat,999.0
mp-1012835__mp-1012835-EXAFS-W-K,mp-1012835,W,train,incompat,999.0
mp-1012865__mp-1012865-EXAFS-O-K,mp-1012865,O,train,incompat,999.0
mp-1012865__mp-1012865-EXAFS-Ti-K,mp-1012865,Ti,train,incompat,999.0
mp-10129__mp-10129-EXAFS-Ni-K,mp-10129,Ni,train,incompat,999.0
mp-10129__mp-10129-EXAFS-Tm-K,mp-10129,Tm,train,incompat,999.0
mp-10130__mp-10130-EXAFS-Ni-K,mp-10130,Ni,train,incompat,999.0
mp-10131__mp-10131-EXAFS-Ni-K,mp-10131,Ni,train,incompat,999.0
mp-10131__mp-10131-EXAFS-Zn-K,mp-10131,Zn,train,incompat,999.0
mp-1013524__mp-1013524-EXAFS-N-K,mp-1013524,N,train,incompat,999.0
mp-1013528__mp-1013528-EXAFS-N-K,mp-1013528,N,train,incompat,999.0
mp-1013529__mp-1013529-EXAFS-N-K,mp-1013529,N,train,incompat,999.0
mp-1013546__mp-1013546-EXAFS-Sb-K,mp-1013546,Sb,train,incompat,999.0
mp-1013547__mp-1013547-EXAFS-P-K,mp-1013547,P,train,incompat,999.0
mp-1013552__mp-1013552-EXAFS-P-K,mp-1013552,P,train,incompat,999.0
mp-1013559__mp-1013559-EXAFS-As-K,mp-1013559,As,train,incompat,999.0
mp-1013565__mp-1013565-EXAFS-O-K,mp-1013565,O,train,incompat,999.0
mp-1013577__mp-1013577-EXAFS-Na-K,mp-1013577,Na,train,incompat,999.0
mp-1013577__mp-1013577-EXAFS-O-K,mp-1013577,O,train,incompat,999.0
mp-1013577__mp-1013577-EXAFS-P-K,mp-1013577,P,train,incompat,999.0
mp-1013582__mp-1013582-EXAFS-Sb-K,mp-1013582,Sb,train,incompat,999.0
mp-1013599__mp-1013599-EXAFS-O-K,mp-1013599,O,val,incompat,999.0
mp-1013730__mp-1013730-EXAFS-Cd-K,mp-1013730,Cd,holdout,incompat,999.0
mp-1013735__mp-1013735-EXAFS-Bi-K,mp-1013735,Bi,val,incompat,999.0
mp-1013750__mp-1013750-EXAFS-F-K,mp-1013750,F,test,incompat,999.0
mp-1013750__mp-1013750-EXAFS-Sn-K,mp-1013750,Sn,test,incompat,999.0
mp-1013760__mp-1013760-EXAFS-Cl-K,mp-1013760,Cl,train,incompat,999.0
mp-1013760__mp-1013760-EXAFS-Sn-K,mp-1013760,Sn,train,near_equivalent,0.06956
mp-1013762__mp-1013762-EXAFS-O-K,mp-1013762,O,train,incompat,999.0
mp-1013830__mp-1013830-EXAFS-Co-K,mp-1013830,Co,train,incompat,999.0
mp-1013830__mp-1013830-EXAFS-O-K,mp-1013830,O,train,incompat,999.0
mp-1013830__mp-1013830-EXAFS-P-K,mp-1013830,P,train,incompat,999.0
mp-1013843__mp-1013843-EXAFS-Mo-K,mp-1013843,Mo,train,incompat,999.0
mp-1013843__mp-1013843-EXAFS-O-K,mp-1013843,O,train,incompat,999.0
mp-1013850__mp-1013850-EXAFS-O-K,mp-1013850,O,train,incompat,999.0
mp-1013878__mp-1013878-EXAFS-P-K,mp-1013878,P,train,incompat,999.0
mp-1013878__mp-1013878-EXAFS-V-K,mp-1013878,V,train,incompat,999.0
mp-1013899__mp-1013899-EXAFS-Fe-K,mp-1013899,Fe,train,incompat,999.0
mp-1013899__mp-1013899-EXAFS-O-K,mp-1013899,O,train,incompat,999.0
mp-1013899__mp-1013899-EXAFS-P-K,mp-1013899,P,train,incompat,999.0
mp-1013910__mp-1013910-EXAFS-O-K,mp-1013910,O,train,incompat,999.0
mp-1013912__mp-1013912-EXAFS-Co-K,mp-1013912,Co,val,incompat,999.0
mp-1013912__mp-1013912-EXAFS-O-K,mp-1013912,O,val,incompat,999.0
mp-1013912__mp-1013912-EXAFS-P-K,mp-1013912,P,val,incompat,999.0
mp-1013917__mp-1013917-EXAFS-Mn-K,mp-1013917,Mn,train,incompat,999.0
mp-1013917__mp-1013917-EXAFS-O-K,mp-1013917,O,train,incompat,999.0
mp-1013917__mp-1013917-EXAFS-P-K,mp-1013917,P,train,incompat,999.0
mp-1013922__mp-1013922-EXAFS-Cr-K,mp-1013922,Cr,train,incompat,999.0
mp-1013922__mp-1013922-EXAFS-O-K,mp-1013922,O,train,incompat,999.0
mp-1013953__mp-1013953-EXAFS-Co-K,mp-1013953,Co,holdout,incompat,999.0
mp-1013953__mp-1013953-EXAFS-O-K,mp-1013953,O,holdout,incompat,999.0
mp-1013987__mp-1013987-EXAFS-Ni-K,mp-1013987,Ni,train,incompat,999.0
mp-1013987__mp-1013987-EXAFS-O-K,mp-1013987,O,train,incompat,999.0
mp-1013987__mp-1013987-EXAFS-P-K,mp-1013987,P,train,incompat,999.0
mp-1014281__mp-1014281-EXAFS-C-K,mp-1014281,C,train,incompat,999.0
mp-1014287__mp-1014287-EXAFS-C-K,mp-1014287,C,train,incompat,999.0
mp-1014287__mp-1014287-EXAFS-N-K,mp-1014287,N,train,incompat,999.0
mp-1014296__mp-1014296-EXAFS-C-K,mp-1014296,C,test,near_equivalent,0.00053
mp-1014298__mp-1014298-EXAFS-C-K,mp-1014298,C,train,incompat,999.0
mp-10142__mp-10142-EXAFS-B-K,mp-10142,B,train,incompat,999.0
mp-10142__mp-10142-EXAFS-Ta-K,mp-10142,Ta,train,incompat,999.0
mp-1014332__mp-1014332-EXAFS-C-K,mp-1014332,C,train,incompat,999.0
mp-1014332__mp-1014332-EXAFS-N-K,mp-1014332,N,train,incompat,999.0
mp-1014333__mp-1014333-EXAFS-C-K,mp-1014333,C,train,incompat,999.0
mp-10159__mp-10159-EXAFS-K-K,mp-10159,K,train,near_equivalent,0.0
mp-1015__mp-1015-EXAFS-Zr-K,mp-1015,Zr,train,incompat,999.0
mp-10162__mp-10162-EXAFS-La-K,mp-10162,La,train,incompat,999.0
mp-1017511__mp-1017511-EXAFS-Cr-K,mp-1017511,Cr,train,near_equivalent,0.0
mp-1018067__mp-1018067-EXAFS-Fe-K,mp-1018067,Fe,test,near_equivalent,0.0
mp-10180__mp-10180-EXAFS-Li-K,mp-10180,Li,test,near_equivalent,0.0
mp-1018649__mp-1018649-EXAFS-C-K,mp-1018649,C,train,incompat,999.0
mp-1018655__mp-1018655-EXAFS-N-K,mp-1018655,N,train,near_equivalent,0.08003
mp-1018810__mp-1018810-EXAFS-Na-K,mp-1018810,Na,train,incompat,999.0
mp-10188__mp-10188-EXAFS-Fe-K,mp-10188,Fe,holdout,incompat,999.0
mp-10188__mp-10188-EXAFS-S-K,mp-10188,S,holdout,incompat,999.0
mp-1019377__mp-1019377-EXAFS-O-K,mp-1019377,O,train,incompat,999.0
mp-1019512__mp-1019512-EXAFS-Al-K,mp-1019512,Al,train,incompat,999.0
mp-1019512__mp-1019512-EXAFS-O-K,mp-1019512,O,train,incompat,999.0
mp-1019512__mp-1019512-EXAFS-P-K,mp-1019512,P,train,incompat,999.0
mp-1019513__mp-1019513-EXAFS-O-K,mp-1019513,O,val,incompat,999.0
mp-1019513__mp-1019513-EXAFS-P-K,mp-1019513,P,val,incompat,999.0
mp-1019514__mp-1019514-EXAFS-Al-K,mp-1019514,Al,train,incompat,999.0
mp-1019514__mp-1019514-EXAFS-O-K,mp-1019514,O,train,incompat,999.0
mp-1019514__mp-1019514-EXAFS-P-K,mp-1019514,P,train,incompat,999.0
mp-10212__mp-10212-EXAFS-Ge-K,mp-10212,Ge,val,incompat,999.0
mp-1021522__mp-1021522-EXAFS-O-K,mp-1021522,O,train,incompat,999.0
mp-1021522__mp-1021522-EXAFS-V-K,mp-1021522,V,train,incompat,999.0
mp-10221__mp-10221-EXAFS-Ge-K,mp-10221,Ge,train,incompat,999.0
mp-10221__mp-10221-EXAFS-Ni-K,mp-10221,Ni,train,incompat,999.0
mp-10221__mp-10221-EXAFS-Pr-K,mp-10221,Pr,train,incompat,999.0
mp-10223__mp-10223-EXAFS-Na-K,mp-10223,Na,train,incompat,999.0
mp-10225__mp-10225-EXAFS-S-K,mp-10225,S,train,incompat,999.0
mp-1022728__mp-1022728-EXAFS-Cu-K,mp-1022728,Cu,train,incompat,999.0
mp-1023130__mp-1023130-EXAFS-Cu-K,mp-1023130,Cu,train,incompat,999.0
mp-1023130__mp-1023130-EXAFS-O-K,mp-1023130,O,train,incompat,999.0
mp-10232__mp-10232-EXAFS-Se-K,mp-10232,Se,train,incompat,999.0
mp-10233__mp-10233-EXAFS-Ca-K,mp-10233,Ca,train,incompat,999.0
mp-10244__mp-10244-EXAFS-Si-K,mp-10244,Si,test,incompat,999.0
mp-10244__mp-10244-EXAFS-Zr-K,mp-10244,Zr,test,incompat,999.0
mp-10245__mp-10245-EXAFS-Hf-K,mp-10245,Hf,train,incompat,999.0
mp-10245__mp-10245-EXAFS-Si-K,mp-10245,Si,train,incompat,999.0
mp-10246__mp-10246-EXAFS-Na-K,mp-10246,Na,train,incompat,0.10013
mp-10247__mp-10247-EXAFS-N-K,mp-10247,N,train,incompat,999.0
mp-10251__mp-10251-EXAFS-O-K,mp-10251,O,train,incompat,999.0
mp-10254__mp-10254-EXAFS-O-K,mp-10254,O,train,incompat,999.0
mp-10255__mp-10255-EXAFS-B-K,mp-10255,B,train,incompat,999.0
mp-10255__mp-10255-EXAFS-Nb-K,mp-10255,Nb,train,incompat,999.0
mp-10260__mp-10260-EXAFS-Ni-K,mp-10260,Ni,train,near_equivalent,0.0
mp-1028__mp-1028-EXAFS-Te-K,mp-1028,Te,train,incompat,999.0
mp-10298__mp-10298-EXAFS-Pt-K,mp-10298,Pt,train,incompat,999.0
mp-10298__mp-10298-EXAFS-Si-K,mp-10298,Si,train,incompat,999.0
mp-10299__mp-10299-EXAFS-Ca-K,mp-10299,Ca,train,incompat,999.0
mp-10300__mp-10300-EXAFS-P-K,mp-10300,P,train,incompat,999.0
mp-1030__mp-1030-EXAFS-Pt-K,mp-1030,Pt,val,near_equivalent,0.0
mp-10318__mp-10318-EXAFS-Co-K,mp-10318,Co,train,incompat,999.0
mp-10318__mp-10318-EXAFS-Si-K,mp-10318,Si,train,incompat,999.0
mp-10320__mp-10320-EXAFS-O-K,mp-10320,O,train,incompat,999.0
mp-10321__mp-10321-EXAFS-O-K,mp-10321,O,train,incompat,999.0
mp-10322__mp-10322-EXAFS-N-K,mp-10322,N,train,incompat,999.0
mp-10328__mp-10328-EXAFS-S-K,mp-10328,S,train,incompat,999.0
mp-10333__mp-10333-EXAFS-P-K,mp-10333,P,holdout,incompat,999.0
mp-10333__mp-10333-EXAFS-Zn-K,mp-10333,Zn,holdout,incompat,999.0
mp-10334__mp-10334-EXAFS-Cd-K,mp-10334,Cd,train,incompat,999.0
mp-10334__mp-10334-EXAFS-P-K,mp-10334,P,train,incompat,999.0
mp-10335__mp-10335-EXAFS-O-K,mp-10335,O,test,incompat,999.0
mp-10342__mp-10342-EXAFS-O-K,mp-10342,O,train,incompat,999.0
mp-10347__mp-10347-EXAFS-O-K,mp-10347,O,train,incompat,999.0
mp-10347__mp-10347-EXAFS-Ta-K,mp-10347,Ta,train,incompat,999.0
mp-10349__mp-10349-EXAFS-O-K,mp-10349,O,train,incompat,999.0
mp-10350__mp-10350-EXAFS-O-K,mp-10350,O,val,incompat,999.0
mp-10378__mp-10378-EXAFS-Cs-K,mp-10378,Cs,train,near_equivalent,0.0
mp-10379__mp-10379-EXAFS-Cu-K,mp-10379,Cu,train,incompat,999.0
mp-1037__mp-1037-EXAFS-Pt-K,mp-1037,Pt,val,incompat,999.0
mp-10382__mp-10382-EXAFS-Se-K,mp-10382,Se,train,incompat,999.0
mp-10390__mp-10390-EXAFS-O-K,mp-10390,O,train,incompat,999.0
mp-10398__mp-10398-EXAFS-Ho-K,mp-10398,Ho,test,near_equivalent,0.0
mp-10398__mp-10398-EXAFS-Ni-K,mp-10398,Ni,test,incompat,999.0
mp-1040783__mp-1040783-EXAFS-O-K,mp-1040783,O,train,incompat,999.0
mp-1040784__mp-1040784-EXAFS-Ca-K,mp-1040784,Ca,train,incompat,999.0
mp-1040784__mp-1040784-EXAFS-Mo-K,mp-1040784,Mo,train,incompat,999.0
mp-1040784__mp-1040784-EXAFS-O-K,mp-1040784,O,train,incompat,999.0
mp-1040786__mp-1040786-EXAFS-O-K,mp-1040786,O,train,incompat,999.0
mp-1040786__mp-1040786-EXAFS-W-K,mp-1040786,W,train,incompat,999.0
mp-1040786__mp-1040786-EXAFS-Zn-K,mp-1040786,Zn,train,incompat,999.0
mp-1040790__mp-1040790-EXAFS-F-K,mp-1040790,F,train,incompat,999.0
mp-1040790__mp-1040790-EXAFS-V-K,mp-1040790,V,train,incompat,0.10713
mp-1040794__mp-1040794-EXAFS-Nb-K,mp-1040794,Nb,train,incompat,999.0
mp-1040794__mp-1040794-EXAFS-O-K,mp-1040794,O,train,incompat,999.0
mp-1040794__mp-1040794-EXAFS-Zn-K,mp-1040794,Zn,train,incompat,999.0
mp-1040803__mp-1040803-EXAFS-O-K,mp-1040803,O,test,incompat,999.0
mp-1040806__mp-1040806-EXAFS-O-K,mp-1040806,O,train,incompat,999.0
mp-1040809__mp-1040809-EXAFS-Mg-K,mp-1040809,Mg,val,incompat,999.0
mp-1040809__mp-1040809-EXAFS-Ni-K,mp-1040809,Ni,val,incompat,999.0
mp-1040809__mp-1040809-EXAFS-O-K,mp-1040809,O,val,incompat,999.0
mp-1040822__mp-1040822-EXAFS-Cr-K,mp-1040822,Cr,train,incompat,999.0
mp-1040822__mp-1040822-EXAFS-O-K,mp-1040822,O,train,incompat,999.0
mp-1040826__mp-1040826-EXAFS-O-K,mp-1040826,O,train,incompat,999.0
mp-1040828__mp-1040828-EXAFS-O-K,mp-1040828,O,train,incompat,0.33197
mp-1040834__mp-1040834-EXAFS-O-K,mp-1040834,O,test,incompat,999.0
mp-1040834__mp-1040834-EXAFS-W-K,mp-1040834,W,test,incompat,999.0
mp-1040836__mp-1040836-EXAFS-O-K,mp-1040836,O,train,incompat,999.0
mp-1040837__mp-1040837-EXAFS-O-K,mp-1040837,O,train,incompat,999.0
mp-1040837__mp-1040837-EXAFS-P-K,mp-1040837,P,train,incompat,999.0
mp-1040838__mp-1040838-EXAFS-O-K,mp-1040838,O,train,incompat,999.0
mp-1040851__mp-1040851-EXAFS-O-K,mp-1040851,O,train,incompat,999.0
mp-1040851__mp-1040851-EXAFS-P-K,mp-1040851,P,train,incompat,999.0
mp-1040851__mp-1040851-EXAFS-Sn-K,mp-1040851,Sn,train,incompat,999.0
mp-1040852__mp-1040852-EXAFS-O-K,mp-1040852,O,val,incompat,999.0
mp-1040853__mp-1040853-EXAFS-O-K,mp-1040853,O,test,incompat,999.0
mp-1040863__mp-1040863-EXAFS-O-K,mp-1040863,O,train,incompat,999.0
